multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad,imagen,patente_imagen,ratio
64,M431ZW,1932-01-01,09:04,86.0,80,RUTA 9,R01,APELADA,2.0,,M431ZM],0.7692
66,NTHGLFT,1932-01-01,08:04,152.0,80,RUTA 9,R03,IMPAGA,68.0,,OCTUAOUNTHGLFTI,0.6364
68,HK06YMX,2020-11-11,14:03,76.0,40,AV SIEMPRE VIVA,,PAGADA,34.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,0.8571
69,VNK296GP,2021-05-25,18:02,77.0,40,RUTA 9,R03,IMPAGA,35.0,,[NK226GP,0.75
71,RFH373,2021-07-14,09:05,116.0,80,AV LIBERTADOR,R01,PAGADA,32.0,,HNS79,0.3636
72,HK06YMX,2021-05-30,14:03,104.0,60,AV SIEMPRE VIVA,R02,PAGADA,41.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,0.8571
75,W326AVE,2021-04-21,00:00,57.0,40,AV LIBERTADOR,R01,PAGADA,15.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,1.0
77,B81JKY,1932-01-01,00:00,83.0,40,RUTA 9,R01,PAGADA,41.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/80e02a518ffe4cb2.jpg,RO}B81JKY,0.8
79,MVU4688,1932-01-01,08:04,96.0,60,AV SIEMPRE VIVA,R02,ERROR,33.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688],0.9333
81,8B90638,2022-04-10,18:03,108.0,60,AV SIEMPRE VIVA,R03,IMPAGA,45.0,,0634,0.5455
82,5777770,2020-02-13,09:05,60.0,40,AV SIEMPRE VIVA,R01,PAGADA,18.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,57777.70,0.9333
90,MVU4688,2023-09-21,18:04,49.0,40,RUTA 9,,PAGADA,7.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688],0.9333
91,INTIGR8,2023-07-09,00:00,148.0,80,AV LIBERTADOR,R01,PAGADA,64.0,,CALFOIAINTIGR8,0.6667
92,CD05601,2023-08-15,14:04,103.0,40,AV LIBERTADOR,R02,ERROR,61.0,,PCJ5661,0.5714
93,3646HBH,2022-04-23,08:04,73.0,60,AV LIBERTADOR,R01,IMPAGA,10.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/d3729058c6a4186e_patente.jpg,3646HBH,1.0
101,RFH373,2022-12-05,14:04,101.0,40,AV LIBERTADOR,R01,PAGADA,59.0,,HNS79,0.3636
102,B81JKY,2023-10-10,18:04,147.0,80,AV LIBERTADOR,R02,ERROR,63.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/80e02a518ffe4cb2.jpg,RO}B81JKY,0.8
103,5777770,2020-05-19,09:06,91.0,60,AV LIBERTADOR,R03,ERROR,28.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,57777.70,0.9333
104,CD05601,1932-01-01,18:04,114.0,60,AV LIBERTADOR,,APELADA,51.0,,PCJ5661,0.5714
106,WEFLYN,1932-01-01,09:06,77.0,40,RUTA 9,,IMPAGA,35.0,,ALIE'CALILOMAWEFLYNI,0.4615
109,DI2LOT,2021-08-12,00:00,77.0,60,AV SIEMPRE VIVA,R03,PAGADA,14.0,,(SN12LO,0.4615
114,BX55DOG,1932-01-01,18:05,121.0,60,RUTA 9,,ERROR,58.0,,8X5SDOG,0.7143
127,8B90638,1932-01-01,14:04,116.0,40,AV SIEMPRE VIVA,R01,ERROR,74.0,,0634,0.5455
129,T0YDR,2022-09-24,00:00,123.0,80,AV SIEMPRE VIVA,R02,PAGADA,39.0,,QVOIOITBYDROON,0.4211
131,409,1932-01-01,09:07,106.0,80,AV SIEMPRE VIVA,R01,PAGADA,22.0,,"201526,409",0.4615
134,UW3932,1932-01-01,18:06,101.0,80,RUTA 9,R01,APELADA,17.0,,UM96201,0.4615
138,831MDB,2021-05-09,18:06,153.0,80,AV SIEMPRE VIVA,R03,ERROR,69.0,,835MDBHOAT,0.625
140,MVU4688,1932-01-01,09:08,110.0,60,AV LIBERTADOR,R03,PAGADA,47.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688],0.9333
141,INTIGR8,2022-04-13,00:00,108.0,60,AV LIBERTADOR,R03,IMPAGA,45.0,,CALFOIAINTIGR8,0.6667
144,HF58HXP,1932-01-01,08:06,79.0,40,RUTA 9,R03,ERROR,37.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,0.8571
146,T0YDR,2022-07-03,18:07,125.0,80,AV LIBERTADOR,R02,APELADA,41.0,,QVOIOITBYDROON,0.4211
147,WEFLYN,2021-12-13,09:08,129.0,60,AV SIEMPRE VIVA,,ERROR,66.0,,ALIE'CALILOMAWEFLYNI,0.4615
148,FD1475,2023-10-07,09:08,106.0,80,AV LIBERTADOR,R03,ERROR,22.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD-147,0.8333
149,990XYK,2022-11-25,14:05,109.0,80,AV LIBERTADOR,,APELADA,25.0,,UTTTULBURH(UNL990+XWK,0.3704
150,INTIGR8,2020-01-04,08:07,100.0,60,AV SIEMPRE VIVA,R03,APELADA,37.0,,CALFOIAINTIGR8,0.6667
155,691XC80,2024-01-03,00:00,116.0,80,RUTA 9,R01,PAGADA,32.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,1.0
161,990XYK,2020-04-26,09:08,82.0,60,AV LIBERTADOR,R01,APELADA,19.0,,UTTTULBURH(UNL990+XWK,0.3704
162,NTHGLFT,2020-06-10,08:07,118.0,60,AV LIBERTADOR,R03,IMPAGA,55.0,,OCTUAOUNTHGLFTI,0.6364
164,MVU4688,2020-10-07,00:00,97.0,80,RUTA 9,R03,PAGADA,13.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688],0.9333
165,GE1466,2021-09-25,00:00,108.0,40,AV LIBERTADOR,,APELADA,66.0,,6E1766,0.6667
166,BM351,2020-02-24,14:05,112.0,80,RUTA 9,,ERROR,28.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM-351,0.9091
170,WEFLYN,2021-01-18,18:08,88.0,80,AV LIBERTADOR,R02,PAGADA,4.0,,ALIE'CALILOMAWEFLYNI,0.4615
171,CD05601,2023-08-11,00:00,75.0,40,RUTA 9,R03,IMPAGA,33.0,,PCJ5661,0.5714
172,810TCH,2020-02-08,14:05,110.0,40,RUTA 9,R03,APELADA,68.0,,81ZF0,0.5455
176,B81JKY,1932-01-01,09:09,91.0,60,AV SIEMPRE VIVA,R01,PAGADA,28.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/80e02a518ffe4cb2.jpg,RO}B81JKY,0.8
178,WU341A,2020-11-18,09:09,70.0,60,RUTA 9,R02,PAGADA,7.0,,HF3461,0.5
183,UM96201,1932-01-01,08:08,102.0,40,AV SIEMPRE VIVA,R03,PAGADA,60.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,1.0
184,81ZFJD,1932-01-01,00:00,111.0,80,RUTA 9,R03,ERROR,27.0,,81ZF0,0.7273
188,TL03GOG,2021-08-13,08:08,93.0,40,RUTA 9,,PAGADA,51.0,,7L03GOG771796O/J505841,0.4138
190,VNK296GP,2020-03-03,09:10,153.0,80,AV LIBERTADOR,R01,PAGADA,69.0,,[NK226GP,0.75
191,VY90540,2022-02-05,08:08,98.0,60,RUTA 9,,IMPAGA,35.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente_1.jpg,VY90540,1.0
192,YLO8WUE,2021-12-18,18:09,140.0,80,AV SIEMPRE VIVA,,ERROR,56.0,,WUE(LOB>,0.4
193,3646HBH,2021-04-03,09:10,117.0,40,AV SIEMPRE VIVA,R01,PAGADA,75.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/d3729058c6a4186e_patente.jpg,3646HBH,1.0
197,DK414N,2020-05-03,00:00,69.0,40,AV SIEMPRE VIVA,,APELADA,27.0,,414'N01.8,0.5333
200,5777770,2022-09-13,14:06,85.0,60,RUTA 9,R02,PAGADA,22.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,57777.70,0.9333
202,6611172,1932-01-01,18:09,137.0,60,RUTA 9,R03,ERROR,74.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,"66,111,72",0.875
204,6611172,2020-04-18,14:06,93.0,80,AV LIBERTADOR,R03,PAGADA,9.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,"66,111,72",0.875
207,OUTSTDN,1932-01-01,14:07,159.0,80,AV SIEMPRE VIVA,R02,PAGADA,75.0,,JANVIRGINIAD;<OUTSTDN,0.5
208,VNK296GP,1932-01-01,09:11,79.0,60,AV LIBERTADOR,R02,ERROR,16.0,,[NK226GP,0.75
209,GN64OTP,1932-01-01,18:09,97.0,60,RUTA 9,,IMPAGA,34.0,,OTPGN64,0.5714
211,2999961,2022-06-06,00:00,97.0,80,RUTA 9,R03,PAGADA,13.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/5ff91ccfc6f15d04_patente.jpg,2999961,1.0
216,M431ZW,2022-03-07,09:11,109.0,60,RUTA 9,R03,APELADA,46.0,,M431ZM],0.7692
217,B81JKY,2022-08-02,00:00,92.0,40,RUTA 9,R03,APELADA,50.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/80e02a518ffe4cb2.jpg,RO}B81JKY,0.8
218,5777770,1932-01-01,00:00,129.0,60,AV LIBERTADOR,R02,APELADA,66.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,57777.70,0.9333
221,RFH373,2021-11-24,09:11,156.0,80,AV SIEMPRE VIVA,R02,APELADA,72.0,,HNS79,0.3636
222,XIIUME,2023-06-25,18:10,83.0,60,AV SIEMPRE VIVA,R03,ERROR,20.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,1.0
227,CD05601,1932-01-01,14:07,109.0,80,AV LIBERTADOR,,IMPAGA,25.0,,PCJ5661,0.5714
228,CT5B876,1932-01-01,18:10,141.0,80,RUTA 9,R02,APELADA,57.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/39c193bcc0c00f9e_patente.jpg,C75B876,0.8571
229,8B90638,2022-06-16,18:10,104.0,60,AV LIBERTADOR,R01,PAGADA,41.0,,0634,0.5455
231,AI7OVF,2021-04-05,14:07,108.0,60,AV LIBERTADOR,R03,APELADA,45.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,0.8333
233,NHZ1002,1932-01-01,18:10,108.0,40,AV SIEMPRE VIVA,R01,APELADA,66.0,,(SN12LO,0.4286
236,831MDB,2020-09-05,08:09,70.0,60,RUTA 9,R03,PAGADA,7.0,,835MDBHOAT,0.625
240,W326AVE,2020-07-31,08:10,100.0,80,AV SIEMPRE VIVA,R01,APELADA,16.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,1.0
241,CT5B876,2022-06-04,18:11,65.0,40,RUTA 9,R03,ERROR,23.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/39c193bcc0c00f9e_patente.jpg,C75B876,0.8571
243,NHZ1002,2021-03-15,00:00,116.0,40,AV LIBERTADOR,R02,IMPAGA,74.0,,(SN12LO,0.4286
247,GN64OTP,2022-01-18,18:11,141.0,80,RUTA 9,R02,APELADA,57.0,,OTPGN64,0.5714
248,VY90540,2020-08-30,18:11,123.0,60,AV LIBERTADOR,,ERROR,60.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente_1.jpg,VY90540,1.0
249,6611172,2020-04-13,08:10,78.0,60,AV LIBERTADOR,R02,APELADA,15.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,"66,111,72",0.875
256,XIIUME,2020-04-30,00:00,125.0,80,AV SIEMPRE VIVA,R03,ERROR,41.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,1.0
257,BM351,2023-03-31,14:08,78.0,40,AV SIEMPRE VIVA,R02,ERROR,36.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM-351,0.9091
259,HAMSTUR,2021-09-30,14:09,141.0,80,AV SIEMPRE VIVA,R03,PAGADA,57.0,,JAYYOOMN[HAMSTUR,0.6087
262,BHRP770,2020-03-29,00:00,94.0,60,AV LIBERTADOR,R01,ERROR,31.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,[BHRP:770|,0.8235
263,990XYK,2020-11-03,18:12,98.0,60,AV SIEMPRE VIVA,R02,PAGADA,35.0,,UTTTULBURH(UNL990+XWK,0.3704
268,GLEN1E,2023-09-03,14:09,68.0,60,AV LIBERTADOR,,APELADA,5.0,,6E1766,0.3333
275,WEFLYN,2022-03-15,14:09,139.0,80,AV LIBERTADOR,R03,APELADA,55.0,,ALIE'CALILOMAWEFLYNI,0.4615
285,41RSTZ,2022-02-03,14:10,153.0,80,AV LIBERTADOR,R02,ERROR,69.0,,41-RS-TZAETE,0.6667
288,GCP332,2023-05-31,08:11,91.0,80,RUTA 9,,IMPAGA,7.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/d648b2ae1abc09f3_patente.jpg,G0GCP332,0.8571
294,810TCH,2023-11-09,18:14,82.0,40,RUTA 9,R03,IMPAGA,40.0,,81ZF0,0.5455
297,GOOGLE,2022-07-22,00:00,88.0,60,AV SIEMPRE VIVA,R03,APELADA,25.0,,ROIB87GLA,0.4
298,VY90540,2021-09-18,00:00,99.0,80,RUTA 9,R01,ERROR,15.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente_1.jpg,VY90540,1.0
301,J1S1,1932-01-01,09:13,121.0,80,AV SIEMPRE VIVA,,PAGADA,37.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,1.0
302,GN64OTP,2021-11-08,18:14,157.0,80,RUTA 9,R03,ERROR,73.0,,OTPGN64,0.5714
303,CBMUK,1932-01-01,14:10,99.0,60,AV LIBERTADOR,R01,APELADA,36.0,,BM-351,0.3636
306,XIIUME,2023-07-26,08:12,133.0,80,AV SIEMPRE VIVA,R02,IMPAGA,49.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,1.0
307,409,2023-01-06,18:14,96.0,40,RUTA 9,R01,PAGADA,54.0,,"201526,409",0.4615
308,FD1475,2022-09-13,08:12,153.0,80,RUTA 9,,ERROR,69.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD-147,0.8333
309,VTIIAHV,2022-07-03,14:10,124.0,60,RUTA 9,R02,ERROR,61.0,,BTIAHV,0.7692
311,CBMUK,2023-04-02,09:13,120.0,40,RUTA 9,R01,PAGADA,78.0,,BM-351,0.3636
315,MPX9357,2020-02-10,09:14,104.0,60,AV LIBERTADOR,R03,IMPAGA,41.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/182268e1f8c6525f_patente.jpg,MPX9357,1.0
317,GN64OTP,1932-01-01,18:15,88.0,80,RUTA 9,R01,IMPAGA,4.0,,OTPGN64,0.5714
319,WU341A,1932-01-01,09:14,73.0,40,AV LIBERTADOR,R02,IMPAGA,31.0,,HF3461,0.5
320,OUTSTDN,2020-12-18,08:12,120.0,60,RUTA 9,,ERROR,57.0,,JANVIRGINIAD;<OUTSTDN,0.5
322,UW3932,2021-07-12,08:13,100.0,80,AV SIEMPRE VIVA,R02,ERROR,16.0,,UM96201,0.4615
324,HAMSTUR,1932-01-01,09:14,96.0,80,AV LIBERTADOR,R03,PAGADA,12.0,,JAYYOOMN[HAMSTUR,0.6087
325,9999868,2022-12-21,00:00,159.0,80,RUTA 9,R02,ERROR,75.0,,2999961,0.7143
327,J1S1,2020-02-28,00:00,93.0,40,AV LIBERTADOR,R01,ERROR,51.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,1.0
328,GN64OTP,1932-01-01,14:11,156.0,80,AV SIEMPRE VIVA,R02,PAGADA,72.0,,OTPGN64,0.5714
329,UM96201,2021-11-17,18:15,133.0,60,RUTA 9,R03,APELADA,70.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,1.0
332,HK06YMX,2023-10-09,00:00,151.0,80,AV SIEMPRE VIVA,,PAGADA,67.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,0.8571
334,810TCH,2023-08-21,00:00,64.0,40,AV LIBERTADOR,,IMPAGA,22.0,,81ZF0,0.5455
340,T0YDR,2021-10-25,18:15,105.0,40,AV LIBERTADOR,R03,APELADA,63.0,,QVOIOITBYDROON,0.4211
342,6611172,2023-12-03,09:16,79.0,40,AV LIBERTADOR,R03,APELADA,37.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,"66,111,72",0.875
353,FVIOUHP,2023-02-22,14:12,127.0,80,AV LIBERTADOR,,PAGADA,43.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,0.8571
354,HF58HXP,2020-12-25,14:12,105.0,80,AV LIBERTADOR,R01,APELADA,21.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,0.8571
356,MX60NZA,2022-09-11,09:16,67.0,60,AV LIBERTADOR,R02,PAGADA,4.0,,UM96201,0.4286
364,HK06YMX,1932-01-01,14:12,90.0,40,AV LIBERTADOR,R02,PAGADA,48.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,0.8571
371,8B90638,2023-10-10,18:17,90.0,40,RUTA 9,R01,IMPAGA,48.0,,0634,0.5455
380,691XC80,2023-09-29,09:18,103.0,80,AV LIBERTADOR,R01,APELADA,19.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,1.0
382,589222,1932-01-01,08:14,135.0,80,AV SIEMPRE VIVA,R01,IMPAGA,51.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/246a0e4264a39433_patente.jpg,589222,1.0
383,0695DVH,2023-12-16,18:17,63.0,40,AV LIBERTADOR,R01,ERROR,21.0,,0634,0.3636
385,409,2021-07-14,08:14,45.0,40,AV LIBERTADOR,R02,APELADA,3.0,,"201526,409",0.4615
387,MX60NZA,2022-11-11,00:00,125.0,60,AV SIEMPRE VIVA,R02,IMPAGA,62.0,,UM96201,0.4286
388,81ZFJD,2020-11-21,09:18,119.0,40,AV LIBERTADOR,R03,ERROR,77.0,,81ZF0,0.7273
389,GE1466,2023-02-18,14:13,112.0,80,AV LIBERTADOR,R03,IMPAGA,28.0,,6E1766,0.6667
392,J1S1,1932-01-01,18:18,134.0,60,RUTA 9,,PAGADA,71.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,1.0
394,GLEN1E,2023-05-05,09:19,133.0,80,AV SIEMPRE VIVA,R02,ERROR,49.0,,6E1766,0.3333
396,41RSTZ,2022-11-16,14:13,90.0,80,AV LIBERTADOR,,ERROR,6.0,,41-RS-TZAETE,0.6667
397,HF3461,2020-07-01,00:00,94.0,80,RUTA 9,R02,APELADA,10.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,1.0
399,810TCH,1932-01-01,09:19,69.0,40,AV SIEMPRE VIVA,R03,IMPAGA,27.0,,81ZF0,0.5455
400,BM351,2021-01-28,00:00,94.0,60,RUTA 9,,ERROR,31.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM-351,0.9091
402,YLO8WUE,1932-01-01,09:19,119.0,60,RUTA 9,R02,APELADA,56.0,,WUE(LOB>,0.4
404,PIW4215,1932-01-01,18:18,49.0,40,AV SIEMPRE VIVA,R03,PAGADA,7.0,,CEORCIAPIN42I5,0.4762
405,HF58HXP,1932-01-01,09:19,118.0,80,AV SIEMPRE VIVA,,ERROR,34.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,0.8571
406,WU08YWC,1932-01-01,09:20,155.0,80,AV LIBERTADOR,R02,PAGADA,71.0,,0978CZY,0.4286
407,6EVY261,2022-06-20,08:15,115.0,60,RUTA 9,R01,PAGADA,52.0,,AO{AUIOIMMA6EVY261,0.56
408,MVU4688,2022-06-15,18:18,91.0,40,AV LIBERTADOR,R02,IMPAGA,49.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688],0.9333
410,UM96201,2023-01-08,00:00,98.0,60,AV SIEMPRE VIVA,R01,PAGADA,35.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,1.0
412,41RSTZ,2022-04-20,08:15,104.0,60,AV SIEMPRE VIVA,R03,ERROR,41.0,,41-RS-TZAETE,0.6667
413,CT5B876,2021-03-23,18:19,104.0,60,AV SIEMPRE VIVA,,PAGADA,41.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/39c193bcc0c00f9e_patente.jpg,C75B876,0.8571
414,YLO8WUE,2021-02-19,09:20,59.0,40,AV LIBERTADOR,R02,IMPAGA,17.0,,WUE(LOB>,0.4
416,BX55DOG,1932-01-01,14:13,97.0,40,AV LIBERTADOR,R01,IMPAGA,55.0,,8X5SDOG,0.7143
418,WU341A,1932-01-01,09:20,90.0,40,AV SIEMPRE VIVA,R03,ERROR,48.0,,HF3461,0.5
421,XIIUME,2020-04-25,08:15,115.0,40,RUTA 9,R02,PAGADA,73.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,1.0
